index,genres,keywords,original_title,title,cast,director
260,Science Fiction Action Adventure,based on novel intolerance chosen one child prodigy futuristic,Ender's Game,Ender's Game,Asa Butterfield Harrison Ford Hailee Steinfeld Abigail Breslin Ben Kingsley,Gavin Hood
261,Action Thriller,usa washington d.c. helicopter hostage fbi,Live Free or Die Hard,Live Free or Die Hard,Bruce Willis Justin Long Timothy Olyphant Cliff Curtis Maggie Q,Len Wiseman
262,Adventure Fantasy Action,elves dwarves orcs middle-earth (tolkien) hobbit,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,Elijah Wood Ian McKellen Cate Blanchett Orlando Bloom Sean Bean,Peter Jackson
263,Action Adventure Comedy,paris london england new york jules verne san francisco,Around the World in 80 Days,Around the World in 80 Days,Jackie Chan Steve Coogan C\u00e9cile de France Robert Fyfe Jim Broadbent,Frank Coraci
264,Drama,usa transporter boxer biography muhammad,Ali,Ali,Will Smith Jamie Foxx Jon Voight Mario Van Peebles Ron Silver,Michael Mann
265,Comedy Fantasy Family,cat brother sister relationship boredom chaos step father,The Cat in the Hat,The Cat in the Hat,Mike Myers Dakota Fanning Spencer Breslin Kelly Preston Alec Baldwin,Bo Welch
266,Action Science Fiction,suicide artificial intelligence man vs machine chicago based on novel,"I, Robot","I, Robot",Will Smith Bridget Moynahan Alan Tudyk James Cromwell Bruce Greenwood,Alex Proyas
267,Drama Action Adventure History War,crusade epic knight swordsman order of the templars,Kingdom of Heaven,Kingdom of Heaven,Orlando Bloom Eva Green Jeremy Irons Marton Csokas Brendan Gleeson,Ridley Scott
268,Animation Fantasy Family Comedy,brother brother relationship based on novel cat mouse adoption,Stuart Little,Stuart Little,Michael J. Fox Geena Davis Hugh Laurie Jonathan Lipnicki Nathan Lane,Rob Minkoff
269,Romance Family Animation Music,based on novel voodoo kiss princess animation,The Princess and the Frog,The Princess and the Frog,Anika Noni Rose Bruno Campos Keith David Michael-Leon Wooley Jennifer Cody,Ron Clements
270,Drama Adventure Science Fiction,based on novel mars nasa isolation botanist,The Martian,The Martian,Matt Damon Jessica Chastain Kristen Wiig Jeff Daniels Michael Pe\u00f1a,Ridley Scott
271,Action Thriller Science Fiction Adventure,clone transplantation love of one's life dystopia genetics,The Island,The Island,Ewan McGregor Scarlett Johansson Djimon Hounsou Sean Bean Steve Buscemi,Michael Bay
272,Comedy Romance,architect cellist friends anniversary,Town & Country,Town & Country,Warren Beatty Diane Keaton Goldie Hawn Garry Shandling Andie MacDowell,Peter Chelsom
273,Action Crime Thriller,brother brother relationship detective car race car thief blackmail,Gone in Sixty Seconds,Gone in Sixty Seconds,Nicolas Cage Angelina Jolie Giovanni Ribisi Delroy Lindo Will Patton,Dominic Sena
274,Action Drama Adventure,rome gladiator arena senate roman empire,Gladiator,Gladiator,Russell Crowe Joaquin Phoenix Connie Nielsen Oliver Reed Richard Harris,Ridley Scott
275,Action Thriller Science Fiction Mystery,self-fulfilling prophecy washington d.c. evidence future hologram,Minority Report,Minority Report,Tom Cruise Colin Farrell Samantha Morton Max von Sydow Lois Smith,Steven Spielberg
276,Adventure Fantasy Family,flying car witch magic cutting the cord child hero,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,Daniel Radcliffe Rupert Grint Emma Watson Richard Harris Alan Rickman,Chris Columbus
277,Adventure Action Thriller,italy poker casino terrorist banker,Casino Royale,Casino Royale,Daniel Craig Eva Green Mads Mikkelsen Judi Dench Jeffrey Wright,Martin Campbell
278,Thriller Science Fiction Action Adventure,gorilla space marine space suit revolution chimp,Planet of the Apes,Planet of the Apes,Mark Wahlberg Tim Roth Helena Bonham Carter Michael Clarke Duncan Kris Kristofferson,Tim Burton
279,Action Thriller Science Fiction,cyborg shotgun post-apocalyptic dystopia moral ambiguity,Terminator 2: Judgment Day,Terminator 2: Judgment Day,Arnold Schwarzenegger Linda Hamilton Robert Patrick Edward Furlong Michael Edwards,James Cameron
280,History Crime Drama,cinema hiding place machinegun prison guard escape from prison,Public Enemies,Public Enemies,Christian Bale Johnny Depp Giovanni Ribisi Billy Crudup Marion Cotillard,Michael Mann
281,Drama Crime,underdog black people drug traffic drug smuggle society,American Gangster,American Gangster,Denzel Washington Russell Crowe Chiwetel Ejiofor Josh Brolin Lymari Nadal,Ridley Scott
282,Action Thriller,spy terrorist florida gun kidnapping,True Lies,True Lies,Arnold Schwarzenegger Jamie Lee Curtis Tom Arnold Bill Paxton Tia Carrere,James Cameron
283,Thriller Drama Crime,hostage new york city new york subway subway train stock market,The Taking of Pelham 1 2 3,The Taking of Pelham 1 2 3,Denzel Washington John Travolta Luis Guzm\u00e1n Victor Gojcaj John Turturro,Tony Scott
284,Comedy Romance,nurse cat father-in-law vomit kids and family,Little Fockers,Little Fockers,Robert De Niro Ben Stiller Owen Wilson Dustin Hoffman Barbra Streisand,Paul Weitz
285,Action Comedy Crime,narration ceo fire truck shot in the shoulder zip line,The Other Guys,The Other Guys,Will Ferrell Mark Wahlberg Eva Mendes Samuel L. Jackson Dwayne Johnson,Adam McKay
286,Action Drama Mystery Thriller,suicide ambush showdown hostage traitor,Eraser,Eraser,Arnold Schwarzenegger James Caan Vanessa Williams James Coburn Robert Pastorelli,Chuck Russell
287,Drama Western,bounty hunter hero plantation society friendship,Django Unchained,Django Unchained,Jamie Foxx Christoph Waltz Leonardo DiCaprio Kerry Washington Samuel L. Jackson,Quentin Tarantino
288,Drama Animation Family,paris based on novel judge obsession dance,The Hunchback of Notre Dame,The Hunchback of Notre Dame,Tom Hulce Demi Moore Tony Jay Kevin Kline Paul Kandel,Gary Trousdale
289,Adventure Animation Comedy Family Fantasy,central and south america birthday emperor palace kingdom,The Emperor's New Groove,The Emperor's New Groove,David Spade John Goodman Eartha Kitt Patrick Warburton Wendie Malick,Mark Dindal
290,Action Adventure Thriller,airplane number in title airplane crash violence beard,The Expendables 2,The Expendables 2,Sylvester Stallone Jason Statham Dolph Lundgren Bruce Willis Arnold Schwarzenegger,Simon West
291,Adventure Action Thriller Mystery,riddle treasure treasure hunt archaeologist archeology\u00a0,National Treasure,National Treasure,Nicolas Cage Diane Kruger Justin Bartha Sean Bean Jon Voight,Jon Turteltaub
292,Fantasy Action Adventure Family,based on novel mythical creature dragon fantasy world teenage hero,Eragon,Eragon,Ed Speleers Jeremy Irons Sienna Guillory Robert Carlyle Djimon Hounsou,Stefen Fangmeier
293,Family Fantasy,children's book igloo wolf costume swallowed whole hit with a rock,Where the Wild Things Are,Where the Wild Things Are,Max Records Catherine Keener Lauren Ambrose James Gandolfini Catherine O'Hara,Spike Jonze
294,Animation Adventure Family Fantasy,fantasy miniature people,Epic,Epic,Josh Hutcherson Amanda Seyfried Colin Farrell Jason Sudeikis Aziz Ansari,Chris Wedge
295,Action Thriller Romance,paris hotel false identity undercover agent romance,The Tourist,The Tourist,Johnny Depp Angelina Jolie Paul Bettany Timothy Dalton Steven Berkoff,Florian Henckel von Donnersmarck
296,Action Fantasy Horror Mystery,christianity sex new year's eve pastor nudity,End of Days,End of Days,Arnold Schwarzenegger Gabriel Byrne Kevin Pollak Robin Tunney CCH Pounder,Peter Hyams
297,Drama Thriller Action,rebel journalist journalism loss of family slavery,Blood Diamond,Blood Diamond,Leonardo DiCaprio Djimon Hounsou Jennifer Connelly Kagiso Kuypers Arnold Vosloo,Edward Zwick
298,Crime Drama Comedy,corruption sex sexuality bank humor,The Wolf of Wall Street,The Wolf of Wall Street,Leonardo DiCaprio Jonah Hill Margot Robbie Kyle Chandler Rob Reiner,
299,Action Crime Fantasy,riddle dc comics rose gotham city partner,Batman Forever,Batman Forever,Val Kilmer Tommy Lee Jones Jim Carrey Nicole Kidman Chris O'Donnell,Joel Schumacher
300,Adventure Action Thriller Science Fiction,moon asteroid space marine intelligence buenos aires,Starship Troopers,Starship Troopers,Casper Van Dien Dina Meyer Denise Richards Jake Busey Neil Patrick Harris,Paul Verhoeven
301,Drama Science Fiction,clone future dystopia ensemble cast duringcreditsstinger,Cloud Atlas,Cloud Atlas,Tom Hanks Halle Berry Jim Broadbent Hugo Weaving Jim Sturgess,Tom Tykwer
302,Animation Adventure Family Fantasy,owl,Legend of the Guardians: The Owls of Ga'Hoole,Legend of the Guardians: The Owls of Ga'Hoole,Emily Barclay Abbie Cornish Essie Davis Joel Edgerton Deborra-Lee Furness,Zack Snyder
303,Action Crime,white russian sex dc comics beauty sexism,Catwoman,Catwoman,Halle Berry Benjamin Bratt Sharon Stone Lambert Wilson Frances Conroy,Pitof
304,Action Adventure,mercenary battle ancient greece hercules warrior,Hercules,Hercules,Dwayne Johnson Ian McShane John Hurt Rufus Sewell Aksel Hennie,Brett Ratner
305,Adventure Animation Family Fantasy Science Fiction,cyborg based on novel space marine mutiny loss of father,Treasure Planet,Treasure Planet,Joseph Gordon-Levitt Brian Murray David Hyde Pierce Emma Thompson Michael Wincott,Ron Clements
306,Adventure Comedy Science Fiction,alien life-form dinosaur primate duringcreditsstinger,Land of the Lost,Land of the Lost,Will Ferrell Anna Friel Danny McBride Jorma Taccone Matt Lauer,Brad Silberling
307,Action Adventure Thriller,cia arms dealer sequel rescue mission hospital,The Expendables 3,The Expendables 3,Sylvester Stallone Jason Statham Harrison Ford Arnold Schwarzenegger Mel Gibson,Patrick Hughes
308,Action Crime Thriller,undercover undercover agent extreme sports fbi agent 3d,Point Break,Point Break,Edgar Ram\u00edrez Luke Bracey Teresa Palmer Delroy Lindo Ray Winstone,Ericson Core
309,Fantasy Comedy Family Adventure,baby mask viking,Son of the Mask,Son of the Mask,Jamie Kennedy Alan Cumming Traylor Howard Kal Penn Steven Wright,Lawrence Guterman
310,Thriller Drama Adventure Action History,suicide ocean sea hunger shipwreck,In the Heart of the Sea,In the Heart of the Sea,Chris Hemsworth Benjamin Walker Cillian Murphy Brendan Gleeson Ben Whishaw,Ron Howard
311,Action Comedy Science Fiction,moon casino bar nightclub future,The Adventures of Pluto Nash,The Adventures of Pluto Nash,Eddie Murphy Randy Quaid Rosario Dawson Joe Pantoliano Jay Mohr,Ron Underwood
312,War Action Adventure Drama Thriller,weapon of mass destruction baghdad iraqi\u00a0,Green Zone,Green Zone,Matt Damon Greg Kinnear Brendan Gleeson Amy Ryan Jason Isaacs,Paul Greengrass
313,Animation,based on comic strip family 3d charlie brown snoopy,The Peanuts Movie,The Peanuts Movie,Noah Schnapp Bill Melendez Venus Schultheis Hadley Belle Miller Madisyn Shipman,Steve Martino
314,Crime Drama Mystery Thriller,dialogue confidence invention independent film,The Spanish Prisoner,The Spanish Prisoner,Steve Martin Campbell Scott Ben Gazzara Rebecca Pidgeon Ricky Jay,David Mamet
315,Adventure Action Fantasy,son ancient egypt bracelet,The Mummy Returns,The Mummy Returns,Brendan Fraser Rachel Weisz John Hannah Arnold Vosloo Oded Fehr,Stephen Sommers
316,Drama History Crime,fire irish-american immigrant gang war pickpocket,Gangs of New York,Gangs of New York,Leonardo DiCaprio Daniel Day-Lewis Cameron Diaz Liam Neeson Brendan Gleeson,Martin Scorsese
317,Drama History War,forced prostitution child rape,金陵十三釵,The Flowers of War,Christian Bale Ni Ni Tong Dawei Zhang Xinyi Shigeo Kobayashi,Zhang Yimou
318,Animation Comedy Family,sea world cup surfer wave surfboard,Surf's Up,Surf's Up,Shia LaBeouf Jeff Bridges Zooey Deschanel Jon Heder James Woods,Ash Brannon
319,Action Comedy Science Fiction,android housewife transformation,The Stepford Wives,The Stepford Wives,Nicole Kidman Matthew Broderick Bette Midler Glenn Close Christopher Walken,Frank Oz
320,Action History War,prisoners of war wound somalia warlord famine,Black Hawk Down,Black Hawk Down,Josh Hartnett Ewan McGregor Jason Isaacs Tom Sizemore William Fichtner,Ridley Scott
321,Comedy,politics politician election campaign \u00a0north carolinam congressman,The Campaign,The Campaign,Will Ferrell Zach Galifianakis Dylan McDermott Jason Sudeikis Sarah Baker,Jay Roach
322,Adventure Fantasy Action Thriller Science Fiction,clone taxi cyborg egypt future,The Fifth Element,The Fifth Element,Bruce Willis Gary Oldman Ian Holm Milla Jovovich Chris Tucker,Luc Besson
323,Comedy Drama Romance,,Sex and the City 2,Sex and the City 2,Sarah Jessica Parker Kristin Davis Cynthia Nixon Kim Cattrall Chris Noth,Michael Patrick King
324,Adventure Animation Comedy Family,gold horse sword fight,The Road to El Dorado,The Road to El Dorado,Kenneth Branagh Kevin Kline Rosie Perez Armand Assante Edward James Olmos,Don Michael Paul
325,Animation Comedy Adventure Family,blue footed booby prehistoric times melting ice badger elephant seal,Ice Age: Continental Drift,Ice Age: Continental Drift,John Leguizamo Ray Romano Chris Wedge Denis Leary Seann William Scott,Steve Martino
326,Romance Fantasy Family Drama,cinderella magic prince fairy tale kingdom,Cinderella,Cinderella,Lily James Cate Blanchett Richard Madden Helena Bonham Carter Stellan Skarsg\u00e5rd,Kenneth Branagh
327,Fantasy Drama,rape 1970s evidence tree afterlife,The Lovely Bones,The Lovely Bones,Rachel Weisz Mark Wahlberg Susan Sarandon Saoirse Ronan Stanley Tucci,Peter Jackson
328,Animation Family,father son relationship harbor underwater fish tank great barrier reef,Finding Nemo,Finding Nemo,Albert Brooks Ellen DeGeneres Alexander Gould Willem Dafoe Brad Garrett,Andrew Stanton
329,Adventure Fantasy Action,elves orcs middle-earth (tolkien) based on novel suspicion,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,Elijah Wood Ian McKellen Viggo Mortensen Liv Tyler Orlando Bloom,Peter Jackson
330,Adventure Fantasy Action,elves orcs middle-earth (tolkien) hobbit based on novel,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,Elijah Wood Ian McKellen Viggo Mortensen Liv Tyler Orlando Bloom,Peter Jackson
331,Adventure Fantasy,magic chosen one dark fantasy witch hunter evil witch,Seventh Son,Seventh Son,Jeff Bridges Julianne Moore Ben Barnes Alicia Vikander Kit Harington,Sergei Bodrov
332,Adventure Fantasy Action Thriller,treasure buddhist monk planetary configuration angkor wat illuminati,Lara Croft: Tomb Raider,Lara Croft: Tomb Raider,Angelina Jolie Jon Voight Iain Glen Noah Taylor Daniel Craig,Simon West
333,Thriller Science Fiction Drama Mystery,artificial intelligence technology nanotechnology computer virus super computer,Transcendence,Transcendence,Johnny Depp Paul Bettany Rebecca Hall Kate Mara Morgan Freeman,Wally Pfister
334,Adventure Action Thriller Science Fiction,exotic island dna paleontology tyrannosaurus rex velociraptor,Jurassic Park III,Jurassic Park III,Sam Neill William H. Macy T\u00e9a Leoni Trevor Morgan Alessandro Nivola,Joe Johnston
335,Thriller Action Drama Science Fiction,intelligence zoo cage dystopia golden gate bridge,Rise of the Planet of the Apes,Rise of the Planet of the Apes,James Franco Freida Pinto John Lithgow Brian Cox Tom Felton,Rupert Wyatt
336,Adventure Family Fantasy,brother sister relationship family relationships single mother alternate reality mother child relationship,The Spiderwick Chronicles,The Spiderwick Chronicles,Freddie Highmore Mary-Louise Parker Nick Nolte Sarah Bolger Andrew McCarthy,Mark Waters
337,Action Thriller,bomb cia russia escape courthouse,A Good Day to Die Hard,A Good Day to Die Hard,Bruce Willis Jai Courtney Sebastian Koch Mary Elizabeth Winstead \u042e\u043b\u0438\u044f \u0421\u043d\u0438\u0433\u0438\u0440\u044c,John Moore
338,Western History War,texas officer uprising alamo mexican,The Alamo,The Alamo,Dennis Quaid Billy Bob Thornton Jason Patric Patrick Wilson Emilio Echevarr\u00eda,John Lee Hancock
339,Action Adventure Animation Family,secret identity secret hero island wretch,The Incredibles,The Incredibles,Craig T. Nelson Holly Hunter Samuel L. Jackson Jason Lee Dominique Louis,Brad Bird
340,Action Adventure,exotic island treasure map ship scalp,Cutthroat Island,Cutthroat Island,Geena Davis Matthew Modine Frank Langella Maury Chaykin Patrick Malahide,Renny Harlin
341,Adventure Fantasy Family,monster greek mythology god poseidon \u00a0 lightning bolt,Percy Jackson & the Olympians: The Lightning Thief,Percy Jackson & the Olympians: The Lightning Thief,Logan Lerman Brandon T. Jackson Alexandra Daddario Jake Abel Sean Bean,Chris Columbus
342,Action Adventure Comedy Science Fiction,secret identity sun glasses undercover space marine illegal immigration,Men in Black,Men in Black,Tommy Lee Jones Will Smith Linda Fiorentino Vincent D'Onofrio Rip Torn,Barry Sonnenfeld
343,Animation Comedy Family,museum prosecution identity crisis airplane flea market,Toy Story 2,Toy Story 2,Tom Hanks Tim Allen Joan Cusack Kelsey Grammer Don Rickles,John Lasseter
344,Action Thriller,runaway train,Unstoppable,Unstoppable,Denzel Washington Chris Pine Rosario Dawson Ethan Suplee Kevin Corrigan,Tony Scott
345,Action Comedy Crime Thriller,duringcreditsstinger,Rush Hour 2,Rush Hour 2,"Chris Tucker Jackie Chan Zhang Ziyi Roselyn S\u00e1nchez Ernie Reyes, Jr.",Brett Ratner
346,Drama Horror Mystery Thriller,secret haunted house ouija board haunting missing girl,What Lies Beneath,What Lies Beneath,Harrison Ford Michelle Pfeiffer Diana Scarwid James Remar Miranda Otto,Robert Zemeckis
347,Animation Comedy Family,weather food science,Cloudy with a Chance of Meatballs,Cloudy with a Chance of Meatballs,Bill Hader Anna Faris James Caan Mr. T Benjamin Bratt,Phil Lord
348,Animation Comedy Family Adventure,ice age bridge insanity jungle dinosaur,Ice Age: Dawn of the Dinosaurs,Ice Age: Dawn of the Dinosaurs,Ray Romano John Leguizamo Denis Leary Queen Latifah Simon Pegg,Carlos Saldanha
349,Adventure Comedy Drama Fantasy,himalaya photographer magazine iceland daydream,The Secret Life of Walter Mitty,The Secret Life of Walter Mitty,Ben Stiller Kristen Wiig Patton Oswalt Shirley MacLaine Adam Scott,Ben Stiller
350,Action Adventure Comedy Crime Thriller,martial arts female friendship millionaire agent,Charlie's Angels,Charlie's Angels,Cameron Diaz Lucy Liu Drew Barrymore Bill Murray John Forsythe,McG
351,Drama Thriller Crime,undercover boston police friends mafia,The Departed,The Departed,Leonardo DiCaprio Matt Damon Jack Nicholson Mark Wahlberg Martin Sheen,Martin Scorsese
352,Animation Family Adventure,homeland musical training daughter cricket,Mulan,Mulan,Eddie Murphy Jackie Chan Ming-Na Wen Lea Salonga June Foray,Tony Bancroft
353,Action Comedy,film making satire jungle movie star southeast asia,Tropic Thunder,Tropic Thunder,Ben Stiller Jack Black Robert Downey Jr. Nick Nolte Steve Coogan,Ben Stiller
354,Thriller Crime Mystery Drama,rape journalist based on novel journalism hacker,The Girl with the Dragon Tattoo,The Girl with the Dragon Tattoo,Daniel Craig Rooney Mara Christopher Plummer Goran Visnjic Stellan Skarsg\u00e5rd,David Fincher
355,Action Thriller,bomb taxi riddle robbery detective,Die Hard: With a Vengeance,Die Hard: With a Vengeance,Bruce Willis Jeremy Irons Samuel L. Jackson Graham Greene Colleen Camp,John McTiernan
356,Action Adventure Crime Mystery,detective scotland yard coffin black magic arrest,Sherlock Holmes,Sherlock Holmes,Robert Downey Jr. Jude Law Rachel McAdams Mark Strong Eddie Marsan,Guy Ritchie
357,Drama,betrayal vengeance,Ben-Hur,Ben-Hur,Jack Huston Toby Kebbell Rodrigo Santoro Nazanin Boniadi Ayelet Zurer,Timur Bekmambetov
358,Animation Family Adventure Science Fiction,sea atlantis animation underwater sea monster,Atlantis: The Lost Empire,Atlantis: The Lost Empire,Michael J. Fox Corey Burton Claudia Christian James Garner John Mahoney,Gary Trousdale
359,Adventure Animation Comedy Family,chipmunk cgi talking animal aftercreditsstinger duringcreditsstinger,Alvin and the Chipmunks: The Road Chip,Alvin and the Chipmunks: The Road Chip,Jason Lee Justin Long Bella Thorne Matthew Gray Gubler Jesse McCartney,Walt Becker
360,Drama Thriller History War,berlin suicide bomb assassination resistance,Valkyrie,Valkyrie,Tom Cruise Carice van Houten Kenneth Branagh Bill Nighy Terence Stamp,Bryan Singer
361,Comedy Action,new york israel middle east hairdresser ladykiller,You Don't Mess with the Zohan,You Don't Mess with the Zohan,Adam Sandler John Turturro Emmanuelle Chriqui Nick Swardson Lainie Kazan,Dennis Dugan
362,Action Comedy Science Fiction,video game nerd alien attack 3d pixels,Pixels,Pixels,Adam Sandler Michelle Monaghan Peter Dinklage Josh Gad Kevin James,Chris Columbus
363,Drama Science Fiction Adventure,artificial intelligence prophecy prostitute android loss of mother,A.I. Artificial Intelligence,A.I. Artificial Intelligence,Haley Joel Osment Frances O'Connor Sam Robards Jake Thomas Jude Law,Steven Spielberg
364,Thriller Fantasy Comedy Family Mystery,secret passage magic estate agent haunted house family vacation,The Haunted Mansion,The Haunted Mansion,Eddie Murphy Terence Stamp Nathaniel Parker Marsha Thomason Jennifer Tilly,Rob Minkoff
365,Drama Science Fiction Mystery,based on novel nasa new mexico extraterrestrial technology prime number,Contact,Contact,Jodie Foster Matthew McConaughey James Woods John Hurt Tom Skerritt,Robert Zemeckis
366,Action Science Fiction Thriller,killing human experimentation scientist invisible man science experiment,Hollow Man,Hollow Man,Kevin Bacon Elisabeth Shue Josh Brolin Kim Dickens Rhona Mitra,Paul Verhoeven
367,Crime Thriller,new york dictator africa destruction of a civilization assassination,The Interpreter,The Interpreter,Nicole Kidman Sean Penn Catherine Keener Jesper Christensen Yvan Attal,Sydney Pollack
368,Adventure Family Fantasy,poison hermes poseidon demigod golden fleece,Percy Jackson: Sea of Monsters,Percy Jackson: Sea of Monsters,Logan Lerman Alexandra Daddario Douglas Smith Leven Rambin Brandon T. Jackson,Thor Freudenthal
369,Action Adventure Fantasy Thriller,riddle treasure medallion kenia alexander the great,Lara Croft Tomb Raider: The Cradle of Life,Lara Croft Tomb Raider: The Cradle of Life,Angelina Jolie Gerard Butler Noah Taylor Djimon Hounsou Til Schweiger,Jan de Bont
370,Action Adventure Comedy Crime Mystery,london england china magic secret society vigilante,Now You See Me 2,Now You See Me 2,Jesse Eisenberg Woody Harrelson Mark Ruffalo Dave Franco Morgan Freeman,Jon M. Chu
371,Thriller Action Romance Science Fiction Adventure,berlin russia gas master thief the saint,The Saint,The Saint,Val Kilmer Elisabeth Shue Rade Serbedzija Henry Goodman Alun Armstrong,Phillip Noyce
372,Action Crime Thriller,spy china cia cold war,Spy Game,Spy Game,Robert Redford Brad Pitt Catherine McCormack Stephen Dillane Larry Bryggman,Tony Scott
373,Science Fiction,mars spacecraft space travel alien long take,Mission to Mars,Mission to Mars,Gary Sinise Tim Robbins Don Cheadle Connie Nielsen Jerry O'Connell,Brian De Palma
374,Animation Adventure Comedy Family,brazil pet bird musical canary,Rio,Rio,Jesse Eisenberg Anne Hathaway Leslie Mann Jane Lynch Will.i.am,Carlos Saldanha
375,Comedy Science Fiction,android hologram freedom futuristic robot,Bicentennial Man,Bicentennial Man,Robin Williams Sam Neill Embeth Davidtz Oliver Platt Kiersten Warren,Chris Columbus
376,Science Fiction Action Drama Thriller,subway lava volcano volcanologist los angeles,Volcano,Volcano,Tommy Lee Jones Anne Heche Gaby Hoffmann Don Cheadle Joshua Fardon,Mick Jackson
377,Crime Thriller Drama,new york terrorist anonymity northern ireland,The Devil's Own,The Devil's Own,Harrison Ford Brad Pitt Margaret Colin Rub\u00e9n Blades Treat Williams,Alan J. Pakula
378,Drama History Thriller,submarine soviet union core melt north atlantic nuclear,K-19: The Widowmaker,K-19: The Widowmaker,Harrison Ford Liam Neeson Peter Sarsgaard Joss Ackland John Shrapnel,Kathryn Bigelow
379,Adventure Fantasy Action,gladiator repayment despot barbarian sword and sorcery,Conan the Barbarian,Conan the Barbarian,Arnold Schwarzenegger James Earl Jones Max von Sydow Sandahl Bergman Cassandra Gava,John Milius
380,Romance Drama History,transporter netherlands world cup socially deprived family family's daily life,Cinderella Man,Cinderella Man,Russell Crowe Ren\u00e9e Zellweger Paul Giamatti Craig Bierko Paddy Considine,Ron Howard
381,Fantasy Action Family,,The Nutcracker: The Untold Story,The Nutcracker: The Untold Story,Elle Fanning Nathan Lane John Turturro Frances de la Tour Charlie Rowe,Andrei Konchalovsky
382,Drama History,horse race american dream racehorse great depression,Seabiscuit,Seabiscuit,Jeff Bridges David McCullough Chris Cooper Tobey Maguire Elizabeth Banks,Gary Ross
383,Action Adventure Drama,wife husband relationship tornado twister oklahoma metereologist,Twister,Twister,Helen Hunt Bill Paxton Cary Elwes Jami Gertz Philip Seymour Hoffman,Jan de Bont
384,Adventure Drama,exotic island suicide attempt volleyball loneliness airplane crash,Cast Away,Cast Away,Tom Hanks Helen Hunt Chris Noth Paul Sanchez Lari White,Robert Zemeckis
385,Animation Comedy,ocean fish zoo penguin tap dancing,Happy Feet,Happy Feet,Elijah Wood Robin Williams Brittany Murphy Hugh Jackman Nicole Kidman,George Miller
386,Action Drama Thriller,berlin assassin based on novel amnesia sniper,The Bourne Supremacy,The Bourne Supremacy,Matt Damon Franka Potente Brian Cox Julia Stiles Karl Urban,Paul Greengrass
387,Action Thriller,prison corruption journalist white house hostage,Air Force One,Air Force One,Harrison Ford Gary Oldman Glenn Close Wendy Crewson William H. Macy,Wolfgang Petersen
388,Thriller Crime,prison pickpocket strip club con artist atlantic city,Ocean's Eleven,Ocean's Eleven,George Clooney Brad Pitt Matt Damon Andy Garc\u00eda Julia Roberts,Steven Soderbergh
389,Adventure Action Thriller,number in title historical fiction musketeer 17th century 3d,The Three Musketeers,The Three Musketeers,Milla Jovovich Orlando Bloom Logan Lerman Ray Stevenson Matthew Macfadyen,Paul W.S. Anderson
390,Animation Comedy Family Fantasy,witch magic mummy vampire dracula,Hotel Transylvania,Hotel Transylvania,Adam Sandler Steve Buscemi David Spade Kevin James Selena Gomez,Genndy Tartakovsky
391,Comedy Family Fantasy Romance,poison queen fairy tale musical princess,Enchanted,Enchanted,Amy Adams Patrick Dempsey James Marsden Timothy Spall Rachel Covey,Kevin Lima
392,Action Thriller,cia violence safe house rogue agent cape town south africa,Safe House,Safe House,Denzel Washington Ryan Reynolds Vera Farmiga Joel Kinnaman Brendan Gleeson,Daniel Espinosa
393,Comedy Family,london england prison release from prison women's prison society for the prevention of cruelty to animals,102 Dalmatians,102 Dalmatians,Glenn Close Ioan Gruffudd Alice Evans Tim McInnerny G\u00e9rard Depardieu,Kevin Lima
394,Action Comedy,skyscraper thanksgiving billionaire parade fbi agent,Tower Heist,Tower Heist,Ben Stiller Eddie Murphy Casey Affleck Alan Alda Matthew Broderick,Brett Ratner
395,Comedy Romance,holiday london england film making christmas party country house,The Holiday,The Holiday,Cameron Diaz Kate Winslet Jude Law Jack Black Eli Wallach,Nancy Meyers
396,Action Drama Thriller,corruption washington d.c. helicopter falsely accused identity,Enemy of the State,Enemy of the State,Will Smith Gene Hackman Jon Voight Regina King Ian Hart,Tony Scott
397,Comedy Romance,graduation ex husband woman director,It's Complicated,It's Complicated,Meryl Streep Alec Baldwin Steve Martin John Krasinski Lake Bell,Nancy Meyers
398,Crime Thriller,casino thief revenge heist las vegas,Ocean's Thirteen,Ocean's Thirteen,George Clooney Brad Pitt Matt Damon Al Pacino Bernie Mac,Steven Soderbergh
399,Adventure Animation Family,hunter mountains garage grizzly bear bunny,Open Season,Open Season,Martin Lawrence Ashton Kutcher Gary Sinise Debra Messing Billy Connolly,Jill Culton
400,Adventure Action Science Fiction,based on novel dystopia youth dystopic future caste system,Divergent,Divergent,Shailene Woodley Theo James Kate Winslet Miles Teller Ray Stevenson,Neil Burger
401,War,winter sniper world war ii stalingrad,Enemy at the Gates,Enemy at the Gates,Jude Law Rachel Weisz Ed Harris Joseph Fiennes Bob Hoskins,Jean-Jacques Annaud
402,Adventure Action Comedy Thriller,hunter bounty bounty hunter fight amazon,The Rundown,The Rundown,"Dwayne Johnson Seann William Scott Rosario Dawson Christopher Walken Ernie Reyes, Jr.",Peter Berg
403,Adventure Fantasy Action Comedy Family,magic movie in movie spoof magical object cartoon cat,Last Action Hero,Last Action Hero,Arnold Schwarzenegger F. Murray Abraham Art Carney Charles Dance Frank McRae,John McTiernan
